@relation arff_arc.csv

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {clean,buggy}

@data
7,1,0,6,19,7,0,6,6,0.75,117,1,2,0,0.366667,0,0,15.142857,3,1.1429,clean
13,1,0,1,17,64,0,1,12,0.916667,117,1,0,0,0.461538,0,0,7.461538,3,1.3846,clean
7,4,4,48,12,19,47,1,6,0.944444,44,0.333333,0,0.866667,0.458333,0,0,4.857143,1,0.2857,clean
4,1,0,4,4,6,2,2,4,2,4,0,0,0,1,0,0,0,1,1,clean
4,5,0,2,8,6,1,1,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
5,1,0,2,6,6,1,1,5,0.916667,25,1,1,0,0.466667,0,0,3.4,1,0.8,clean
9,1,0,6,9,36,3,3,9,2,9,0,0,0,0.425926,0,0,0,1,1,clean
15,1,0,6,19,83,4,2,15,0.928571,123,1,2,0,0.209524,1,1,6.733333,7,1.4,clean
30,1,0,1,34,389,0,1,29,0.946708,266,1,0,0,0.433333,0,0,7.5,3,1.4667,clean
10,1,0,4,19,0,2,2,10,0.694444,115,1,3,0,0.35,1,1,10.1,5,1.3,clean
3,1,0,3,9,3,0,3,3,2,40,0,0,0,0.5,0,0,12.333333,5,2,clean
11,1,0,8,18,13,7,1,11,0.775,130,1,1,0,0.287879,1,1,10.454545,7,1.3636,clean
10,1,1,14,29,21,5,9,6,0.777778,150,1,0,0,0.44,0,0,13.6,2,1.2,clean
3,4,0,3,10,3,0,3,3,2,33,0,0,0.965517,0.833333,0,0,10,1,0.6667,clean
13,1,0,6,35,64,0,6,13,0.9375,254,1,0,0,0.259615,0,0,17.923077,2,1,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
7,1,0,13,7,21,13,0,7,2,7,0,0,0,0.464286,0,0,0,1,1,clean
9,1,0,6,15,4,6,1,9,0.791667,101,1,1,0,0.361111,1,1,9.888889,7,1.5556,clean
8,1,0,4,15,6,4,0,8,0.809524,82,1,0,0,0.34375,1,1,8.875,6,1.625,clean
4,2,0,3,7,4,3,0,2,0.966667,122,0.1,10,0.846154,0.444444,1,1,27,1,0.5,clean
5,4,0,18,41,10,0,18,4,2,157,0,0,0.933333,0.5,0,0,30.4,12,3.6,clean
1,4,0,1,2,0,1,0,1,2,5,0,0,1,1,0,0,4,0,0,clean
14,1,0,8,42,27,0,8,13,0.769231,280,1,3,0,0.241758,0,0,18.642857,1,0.8571,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
8,1,0,5,14,0,3,2,8,0.666667,122,1,2,0,0.40625,1,1,13.875,10,2.125,clean
2,1,0,4,2,1,2,2,2,2,2,0,0,0,0.666667,0,0,0,1,1,clean
5,1,0,11,27,6,0,11,5,0.75,138,1,2,0,0.333333,0,0,26.2,11,2.8,clean
19,1,0,12,23,137,8,4,18,0.946296,242,1,2,0,0.37037,0,0,10.157895,1,0.8947,clean
1,1,0,4,1,0,1,3,1,2,1,0,0,0,1,0,0,0,1,1,clean
18,1,0,9,38,103,6,3,15,0.811765,239,1,2,0,0.242647,0,0,12,6,1.3333,clean
9,1,0,7,9,36,4,3,9,2,9,0,0,0,0.285714,0,0,0,1,1,clean
6,4,0,11,26,15,0,11,4,2,103,0,0,0.918033,0.5,0,0,16.166667,6,1.6667,clean
3,2,0,5,11,3,4,1,3,2,33,0,0,0.882353,0.555556,1,1,10,1,0.6667,clean
4,2,0,4,14,4,0,4,4,0.666667,68,1,0,0.8125,0.4375,1,1,15.75,4,1.5,clean
55,1,0,74,63,1417,71,3,55,0.980057,318,1,5,0,0.113287,1,1,4.309091,6,1.0909,clean
23,1,0,23,66,159,0,23,21,0.915584,439,1,6,0,0.165584,0,0,17.478261,5,1.2609,clean
28,1,0,27,28,378,24,3,28,2,28,0,0,0,0.228571,0,0,0,1,1,clean
4,2,0,1,10,4,0,1,4,0.666667,49,1,0,0.8125,0.4375,1,1,11,3,1.25,clean
5,3,0,1,41,2,0,1,2,0.833333,236,1,0,0.888889,0.35,1,2,45.6,2,0.8,clean
12,1,0,6,12,66,3,3,12,2,12,0,0,0,0.333333,0,0,0,1,1,clean
16,1,0,18,23,98,15,3,16,0.92381,122,1,3,0,0.179688,1,1,6.1875,6,1.3125,clean
3,1,0,2,5,3,0,2,3,2,11,0,0,0,0.5,0,0,2.666667,1,0.6667,clean
2,1,0,1,6,1,1,0,2,2,20,0,0,0,0.5,0,0,9,1,0.5,clean
2,1,0,5,2,1,3,2,2,2,2,0,0,0,1,0,0,0,1,1,clean
4,2,0,4,14,4,1,4,4,0.666667,73,1,0,0.8125,0.4375,1,1,17,4,1.5,clean
21,1,0,4,25,182,4,0,21,0.95,153,1,0,0,0.210884,1,1,5.809524,7,1.2857,clean
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
14,2,0,4,21,55,2,2,14,0.846154,161,0,0,0.409091,0.47619,2,2,10.071429,13,1.7857,clean
4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.45,0,0,0,1,1,clean
1,1,0,1,2,0,0,1,1,2,7,1,1,0,1,0,0,3,0,0,clean
3,1,0,3,5,3,0,3,3,2,14,0,0,0,0.5,0,0,3.666667,1,0.6667,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
6,1,0,2,6,15,2,0,6,2,6,0,0,0,0.916667,0,0,0,1,1,clean
3,4,0,11,21,3,0,11,3,2,73,0,0,0.965517,0.833333,0,0,23.333333,3,1.3333,clean
13,1,0,8,13,78,2,6,13,2,13,0,0,0,0.326923,0,0,0,1,1,clean
12,1,0,3,22,30,1,3,12,0.69697,124,1,1,0,0.277778,1,1,9.083333,7,1.4167,clean
2,4,0,5,10,1,0,5,2,2,34,0,0,0.982456,0.75,0,0,16,1,0.5,clean
2,2,0,2,5,1,1,1,2,2,11,0,0,0.9375,0.75,1,1,4.5,1,0.5,clean
3,1,0,6,3,3,6,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,clean
5,1,0,6,24,8,2,4,4,0.875,118,0.5,0,0,0.416667,0,0,21.8,2,1,clean
3,1,0,7,3,3,4,3,3,2,3,0,0,0,0.583333,0,0,0,1,1,clean
2,2,0,3,6,1,2,1,2,2,21,0,0,0.9375,0.75,1,1,9.5,3,1.5,clean
7,1,0,3,11,17,0,3,6,0.666667,61,1,0,0,0.541667,0,0,7.428571,1,0.7143,clean
2,1,0,3,2,1,2,1,2,2,2,0,0,0,1,0,0,0,1,1,clean
7,1,0,1,11,15,0,1,6,0.833333,57,1,0,0,0.428571,0,0,6.714286,3,1.1429,clean
28,1,0,25,92,238,0,25,27,0.920988,487,0.933333,7,0,0.140741,0,0,15.857143,5,1.25,clean
26,1,0,8,33,285,5,3,26,0.956667,172,1,4,0,0.132867,1,1,5.153846,6,1.1923,clean
25,1,0,26,99,222,0,26,22,0.936111,653,1,6,0,0.127451,0,0,24.52,7,1.88,clean
18,1,0,22,92,0,8,14,17,0.909502,643,1,0,0,0.303922,0,0,34,9,3.9444,clean
3,1,0,6,22,3,1,5,3,2,129,0,0,0,0.5,0,0,42,17,6,clean
9,1,0,8,33,0,0,8,8,0.5,362,1,3,0,0.375,0,0,38.777778,1,0.7778,clean
8,1,0,5,15,6,4,1,8,0.809524,71,1,1,0,0.34375,1,1,7.5,6,1.5,clean
31,1,0,11,35,427,9,2,31,0.977778,206,0.833333,4,0,0.148387,1,1,5.064516,7,1.1935,clean
7,1,0,2,20,0,1,1,7,0.611111,96,1,0,0,0.392857,0,0,12.285714,3,1.1429,clean
2,4,0,5,10,1,0,5,2,2,35,0,0,0.982456,0.75,0,0,16.5,1,0.5,clean
2,1,0,2,3,1,0,2,2,1,10,1,1,0,0.75,0,0,3.5,1,0.5,clean
4,1,0,2,4,6,2,0,4,2,4,0,0,0,0.875,0,0,0,1,1,clean
21,1,0,3,24,184,3,0,21,0.95,113,1,0,0,0.357143,0,0,3.904762,1,0.9524,clean
3,1,0,4,3,3,3,1,3,2,3,0,0,0,1,0,0,0,1,1,clean
16,4,0,21,56,78,0,21,14,2,565,0,0,0.788732,0.3125,0,0,34.3125,5,2.125,clean
26,1,0,11,65,0,0,11,24,0.56,669,1,2,0,0.302222,0,0,24.615385,1,0.9231,clean
5,1,0,5,10,4,0,5,4,0.75,29,1,1,0,0.4375,0,0,4.4,1,0.6,clean
2,4,0,12,14,1,0,12,2,2,31,0,0,0.982456,0.75,0,0,14.5,1,0.5,clean
10,1,0,7,28,13,0,7,9,0.777778,121,1,2,0,0.31746,0,0,10.6,1,0.8,clean
5,1,0,3,5,10,3,0,5,2,5,0,0,0,0.533333,0,0,0,1,1,clean
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
16,1,0,5,24,86,3,2,16,0.914286,126,1,2,0,0.179688,1,1,6.4375,6,1.3125,clean
5,1,0,7,16,6,4,3,5,0.75,79,1,0,0,0.333333,0,0,14.4,7,2,clean
6,1,0,8,6,15,3,5,6,2,6,0,0,0,0.452381,0,0,0,1,1,clean
4,1,0,11,17,4,2,9,4,0.666667,74,1,1,0,0.5,0,0,17.25,6,2,clean
3,1,0,2,19,1,0,2,3,1,74,0.5,0,0,0.5,0,0,23,1,0.6667,clean
23,1,0,5,24,231,5,0,23,0.954545,114,1,0,0,0.295652,0,0,3.478261,1,0.9565,clean
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
1,3,0,0,2,0,0,0,1,2,5,0,0,1,1,0,0,4,0,0,clean
5,1,0,4,13,0,3,1,5,0,38,1,0,0,0.533333,0,0,6.4,1,0.8,clean
19,1,0,1,23,149,0,1,18,0.944444,177,1,0,0,0.473684,0,0,7.736842,3,1.4737,clean
13,1,0,6,14,42,5,1,13,0.833333,82,1,1,0,0.353846,0,0,4.846154,1,0.9231,clean
5,1,0,5,18,6,0,5,4,0.5,73,1,1,0,0.583333,0,0,13.2,1,0.6,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
10,1,0,6,18,33,0,6,9,0.904762,93,1,3,0,0.269841,0,0,7.6,1,0.8,clean
6,1,0,5,15,9,0,5,5,0.2,87,1,1,0,0.5,0,0,13.333333,4,1.6667,clean
13,3,0,7,32,40,0,7,11,0.864583,186,1,1,0.657143,0.461538,2,2,12.692308,4,1.1538,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
8,1,0,3,14,0,1,2,8,0.666667,122,1,2,0,0.40625,1,1,13.875,10,2.125,clean
7,1,0,4,12,1,3,1,7,0.444444,85,1,0,0,0.571429,0,0,10.714286,4,1.1429,clean
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
4,2,0,2,11,4,0,2,4,0.666667,51,1,0,0.8125,0.4375,1,1,11.5,4,1.5,clean
2,1,0,2,2,1,2,0,2,2,2,0,0,0,0.75,0,0,0,1,1,clean
6,4,0,7,23,13,0,7,6,0.8,164,1,0,0.918033,0.388889,1,2,26.166667,3,1.1667,clean
24,1,0,9,33,238,7,2,24,0.966555,166,0.846154,2,0,0.182292,1,1,5.375,6,1.2083,clean
11,1,0,6,44,53,0,6,11,0.9,180,1,0,0,0.545455,0,0,15.272727,6,2.0909,clean
1,3,0,1,2,0,1,0,1,2,4,0,0,1,1,0,0,3,0,0,clean
7,1,0,7,16,15,0,7,6,0.9,92,1,2,0,0.366667,0,0,11.428571,2,0.8571,clean
11,1,0,4,15,37,4,0,11,0.9,103,1,0,0,0.290909,1,1,7.909091,7,1.5455,clean
2,1,0,1,8,1,1,0,2,2,32,0,0,0,0.5,0,0,15,2,1,clean
43,1,0,22,110,563,0,22,40,0.931677,1202,1,9,0,0.131579,0,0,26.418605,2,1.093,clean
4,3,1,1,8,6,1,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
3,2,0,2,12,3,1,1,3,2,33,0,0,0.882353,0.555556,1,1,10,1,0.6667,clean
6,4,0,13,30,9,0,13,2,0.8,131,1,1,0.936508,0.466667,1,3,20.166667,1,0.6667,clean
18,1,0,11,46,79,0,11,18,0.847059,174,1,4,0,0.194444,0,0,8.388889,3,1.1111,clean
5,1,0,3,10,8,1,3,3,0.75,26,1,0,0,0.5,0,0,4,1,0.6,clean
20,1,0,19,68,70,0,19,16,0.836842,562,1,8,0,0.148607,0,0,26.6,1,0.9,clean
3,1,0,4,4,1,3,1,3,0.5,14,1,0,0,0.666667,0,0,3.333333,1,0.6667,clean
41,1,0,36,166,490,0,36,37,0.915476,2090,1,9,0,0.126389,0,0,49.463415,7,1.7073,clean
20,1,0,9,20,190,4,5,20,2,20,0,0,0,0.407143,0,0,0,1,1,clean
3,1,0,4,10,3,0,4,3,2,27,0,0,0,0.833333,0,0,8,1,0.6667,clean
14,1,0,15,21,63,14,1,14,0.910256,112,1,1,0,0.285714,1,1,6.571429,6,1.3571,clean
7,1,0,11,33,9,0,11,7,0.791667,194,1,2,0,0.25,0,0,26.142857,16,3,clean
7,1,0,1,11,7,1,0,7,0.833333,83,1,0,0,0.357143,1,1,10.428571,7,1.8571,clean
15,1,0,2,19,83,0,2,15,0.928571,123,1,2,0,0.209524,1,1,6.733333,7,1.4,clean
3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.666667,0,0,0,1,1,clean
1,1,0,2,1,0,1,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
8,1,0,2,26,20,0,2,7,1,127,0.285714,0,0,0.452381,0,0,14,4,1.25,clean
13,1,0,5,19,58,4,1,13,0.916667,84,1,2,0,0.230769,1,1,5,2,1,clean
13,1,0,24,13,78,19,5,13,2,13,0,0,0,0.32967,0,0,0,1,1,clean
12,1,0,9,29,26,1,8,9,0.80303,199,1,0,0,0.431818,0,0,15.083333,4,1.1667,clean
5,1,2,4,21,8,2,2,5,0.25,99,1,0,0,0.45,0,0,18.6,1,0.8,clean
2,1,0,6,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,clean
11,2,0,2,30,31,0,2,9,0.8,196,1,0,0.6,0.363636,0,0,16.363636,1,0.9091,clean
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
4,5,0,3,8,6,2,1,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
17,2,0,4,33,58,1,4,12,0.851563,254,1,0,0.483871,0.198529,0,0,13.470588,4,1.1176,clean
1,1,0,6,1,0,3,3,1,2,1,0,0,0,1,0,0,0,1,1,clean
13,1,0,9,26,0,6,3,12,0.833333,183,0.5,1,0,0.277778,1,1,12.615385,10,1.6154,clean
17,1,0,27,25,108,25,4,17,0.90625,158,1,1,0,0.245098,1,1,7.941176,7,1.4118,clean
8,1,0,3,18,28,0,3,8,2,43,0,0,0,0.4375,0,0,4.375,2,1.125,clean
6,1,0,9,16,13,3,6,5,0.8,43,1,0,0,0.266667,0,0,6,2,0.8333,clean
22,3,0,6,56,123,1,5,17,0.836735,445,1,1,0.522727,0.309091,1,1,18.590909,5,1.4545,clean
5,1,0,9,5,10,5,4,5,2,5,0,0,0,0.433333,0,0,0,1,1,clean
5,1,0,18,6,6,18,0,5,0.5,30,1,0,0,0.8,0,0,4.6,1,0.8,clean
11,1,0,2,11,55,2,0,11,2,11,0,0,0,0.954545,0,0,0,1,1,clean
36,1,0,17,43,576,13,4,36,0.968067,227,1,6,0,0.122685,1,1,4.833333,6,1.1389,clean
10,4,0,4,20,45,0,4,7,2,138,0,0,0.861538,0.625,0,0,12.8,2,1,clean
2,4,0,3,5,1,0,3,2,2,13,0,0,0.982456,0.75,0,0,5.5,1,0.5,clean
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,clean
5,1,0,4,6,0,3,1,5,0.5,30,1,0,0,0.6,0,0,4.6,1,0.8,clean
4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.55,0,0,0,1,1,clean
5,1,0,3,34,10,2,1,5,1.25,149,1,0,0,0.228571,0,0,28.6,6,1.8,clean
0,1,0,4,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
2,4,0,8,11,1,0,8,2,2,32,0,0,0.982456,1,0,0,15,1,0.5,clean
3,1,0,4,7,3,4,0,3,1.5,36,1,0,0,0.5,0,0,10.333333,2,1.3333,clean
5,2,0,6,22,6,0,6,4,0.75,102,1,0,0.8125,0.4375,1,1,19,2,0.8,clean
9,1,0,0,10,28,0,0,9,0.925,45,1,0,0,0.481481,0,0,3.444444,1,0.8889,clean
0,1,0,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
17,1,0,6,18,120,5,1,17,0.9375,84,1,1,0,0.294118,0,0,3.470588,1,0.9412,clean
6,1,0,3,21,9,0,3,5,0.6,63,1,0,0,0.4,0,0,9.333333,2,0.8333,clean
4,2,0,2,10,4,0,2,4,0.666667,53,1,0,0.8125,0.4375,1,1,12,4,1.5,clean
1,4,0,2,2,0,0,2,1,2,4,0,0,1,1,0,0,3,0,0,clean
6,1,0,5,6,15,2,3,6,2,6,0,0,0,0.777778,0,0,0,1,1,clean
4,5,0,3,8,6,2,1,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
