@relation arff_camel-1.0

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {clean,buggy}

@data
4,2,0,6,8,6,2,5,4,2,26,0,0,0.896552,0.5,0,0,5.5,1,0.75,clean
6,3,0,21,33,15,1,21,2,2,176,0,0,0.8,0.5,2,2,28.333333,1,0.6667,clean
2,3,0,3,7,1,0,3,1,2,24,0,0,0.833333,0.666667,1,1,11,1,0.5,clean
26,1,1,10,47,0,5,5,24,0.08,236,1,1,0,0.258242,0,0,8.038462,2,1,clean
4,3,0,4,19,6,1,4,3,2,62,0,0,0.888889,0.375,1,1,14.5,1,0.5,clean
8,3,0,6,13,14,2,6,8,0.666667,70,1,0,0.909091,0.35,1,1,7.375,1,0.875,clean
13,2,0,18,112,76,3,17,1,0.875,1000,1,1,0.4,0.272727,1,1,75.769231,10,5.2308,clean
13,1,0,66,13,78,66,1,13,2,13,0,0,0,0.369231,0,0,0,1,1,buggy
2,1,0,4,3,0,2,2,2,0,12,1,1,0,0.75,0,0,4.5,1,0.5,clean
6,3,0,13,18,13,1,13,4,0.8,76,1,0,0.8,0.333333,1,1,11.5,1,0.6667,clean
25,2,0,18,45,252,8,14,20,0.675,273,1,3,0.233333,0.24,1,1,9.72,5,1.12,clean
2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444,0.666667,0,0,9,1,0.5,clean
7,2,0,7,25,0,1,6,5,0.166667,153,1,1,0.538462,0.357143,1,1,20.571429,4,1.2857,clean
3,5,0,2,6,3,1,1,3,2,16,0,0,1,0.777778,0,0,4.333333,0,0,clean
6,1,0,2,25,5,2,0,5,0.7,166,1,0,0,0.5,0,0,25.666667,1,0.5,clean
19,2,0,20,31,133,6,18,18,0.644444,170,1,2,0.4375,0.163158,1,1,7.684211,2,1,clean
7,2,0,11,21,17,6,5,6,0.666667,90,1,0,0.375,0.375,0,0,11.571429,2,1,clean
3,1,0,9,8,1,4,5,3,0,26,1,1,0,0.5,0,0,7.333333,1,0.3333,clean
0,1,0,27,0,0,26,1,0,2,0,0,0,0,0,0,0,0,0,0,clean
2,2,0,6,4,0,1,6,2,0,16,1,1,0.961538,0.666667,0,0,6.5,1,0.5,clean
12,3,0,8,19,60,1,8,9,0.363636,101,1,0,0.521739,0.354167,1,1,7.333333,3,1.1667,clean
2,6,0,2,7,0,1,1,2,0,25,1,0,0.944444,0.666667,0,0,11,1,0.5,clean
14,3,0,6,29,35,1,6,13,0.153846,132,1,0,0.636364,0.339286,2,8,8.357143,2,1.1429,clean
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
11,2,9,15,23,49,10,5,9,0.6,87,1,0,0.52381,0.327273,1,1,6.818182,2,1.0909,clean
13,3,0,14,33,68,9,7,11,0.854167,121,1,1,0.45,0.283333,0,0,8,2,1,clean
3,3,0,5,8,3,1,5,2,2,28,0,0,0.941176,0.5,1,1,8.333333,1,0.3333,clean
13,3,0,8,29,36,1,8,11,0.5,158,1,0,0.65625,0.326923,2,7,11.076923,4,1.3077,clean
4,1,0,5,5,0,5,0,4,0.666667,28,1,0,0,0.4375,0,0,5.25,1,0.75,clean
12,3,0,11,27,44,1,10,8,0.727273,124,1,2,0.571429,0.233766,1,1,9,3,0.9167,clean
