@relation arff_poi-1.5

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {clean,buggy}

@data
14,2,0,4,24,37,2,3,14,0.833333,151,0.833333,2,0.368421,0.375,1,2,9.357143,1,0.8571,clean
11,2,0,5,21,49,2,3,9,0.933333,107,0.333333,0,0.578947,0.522727,1,6,8.454545,2,0.8182,clean
11,2,0,5,21,43,2,3,9,0.85,117,0.5,0,0.578947,0.418182,1,6,9.454545,2,1,clean
11,2,0,5,21,49,2,3,9,0.933333,106,0.333333,0,0.578947,0.522727,1,6,8.363636,2,0.8182,clean
12,1,0,8,25,24,6,2,8,0.863636,319,1,0,0,0.214286,0,0,25.25,3,1.25,clean
5,2,0,8,16,10,4,4,5,2,50,0,0,0.555556,0.5,0,0,9,1,0.8,clean
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
8,1,0,7,17,0,2,5,7,0.571429,134,1,2,0,0.458333,0,0,15.375,3,1.375,clean
3,1,0,2,21,3,0,2,2,2,112,0,0,0,0.333333,0,0,36.333333,4,2.3333,clean
4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,1,1,clean
1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
4,1,0,2,18,0,1,1,4,0.222222,129,1,1,0,0.4375,1,1,30.5,6,2.5,clean
4,1,0,6,16,4,1,6,4,0.333333,82,0,0,0,0.416667,0,0,19.25,3,1.25,clean
11,2,0,5,21,43,2,3,9,0.85,117,0,0,0.578947,0.418182,1,6,9.454545,2,1,clean
11,2,0,5,21,49,2,3,9,0.933333,107,0.333333,0,0.578947,0.522727,1,6,8.454545,2,0.8182,clean
0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,clean
39,2,0,6,58,115,1,5,37,0.858553,697,0.9375,9,0.234043,0.277778,1,6,16.461538,2,0.9487,clean
9,1,0,10,20,0,10,0,9,0.25,294,1,0,0,0.311111,1,1,31.444444,7,1.8889,clean
5,1,0,5,6,2,3,2,4,0.75,36,1,2,0,0.36,0,0,5.4,1,0.8,clean
4,1,0,7,13,4,4,3,2,0.333333,46,1,0,0,0.333333,0,0,10,2,0.75,clean
4,2,0,5,11,4,1,4,2,0.833333,108,1,1,0.5,0.4,1,1,25.5,3,1.25,clean
1,1,0,7,1,0,6,1,1,2,1,0,0,0,1,0,0,0,1,1,clean
2,2,0,2,3,1,1,1,2,2,10,0,0,0.75,0.666667,1,1,3.5,1,0.5,clean
38,2,0,6,52,479,2,4,35,0.898649,536,0.9375,6,0.244444,0.335135,1,6,12.684211,2,0.9211,clean
10,1,2,6,14,19,3,4,6,0.611111,71,1,2,0,0.325,0,0,5.9,3,1.3,clean
11,1,0,5,21,9,2,3,11,0.25,92,1,0,0,0.454545,0,0,7.181818,1,0.6364,clean
4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.583333,0,0,0,1,1,clean
11,1,0,4,15,21,1,3,11,0.533333,90,1,0,0,0.454545,0,0,6.909091,1,0.6364,clean
11,2,0,5,21,49,2,3,9,0.85,112,0.5,0,0.578947,0.418182,1,6,9,2,0.9091,clean
4,1,4,5,6,6,4,1,1,2,15,0,0,0,0.666667,0,0,2.75,1,0.75,clean
11,2,0,5,25,43,2,3,9,0.8,182,0,0,0.578947,0.418182,1,6,15.363636,2,1.0909,clean
2,2,0,4,3,1,3,1,2,2,10,0,0,0.75,0.666667,1,1,3.5,1,0.5,clean
1,1,0,9,1,0,9,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
2,1,0,5,10,1,1,4,0,2,82,0,0,0,0.5,0,0,40,1,0.5,clean
11,1,0,7,17,9,4,3,11,0.25,85,1,0,0,0.522727,0,0,6.545455,1,0.6364,clean
2,1,0,3,4,0,1,3,2,0,14,0,1,0,0.666667,0,0,5.5,1,0.5,clean
