@relation arff_redktor

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {clean,buggy}

@data
13,1,0,18,47,0,17,1,10,0.541667,803,1,0,0,0.2,0,0,60.615385,5,2.6154,clean
0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,clean
9,1,0,15,32,0,1,14,6,0.5625,302,1,0,0,0.458333,0,0,32.333333,3,1.3333,clean
13,1,0,13,52,0,1,12,6,0.541667,520,1,0,0,0.291667,0,0,38.846154,4,1.4615,clean
15,2,0,14,36,0,8,6,10,0.464286,404,1,1,0.235294,0.196429,1,4,25.8,4,1.7333,clean
8,1,0,6,18,0,1,5,6,0.571429,185,1,0,0,0.428571,0,0,21.875,2,1.25,clean
36,1,0,13,71,0,0,13,34,0.782143,816,1,6,0,0.182857,0,0,21.444444,2,1.8611,clean
9,1,0,11,34,0,1,10,6,0.5625,312,1,0,0,0.458333,0,0,33.444444,4,1.4444,clean
5,2,0,8,12,0,6,2,3,0.625,123,1,0,0.8125,0.75,1,4,23.2,2,1,clean
9,2,0,6,15,0,3,3,7,0.65,199,1,0,0.65,0.34375,1,4,20.555556,2,1.4444,clean
5,2,0,7,11,0,4,3,3,0.583333,102,1,0,0.8125,0.5,1,4,18.8,2,1,clean
7,2,0,3,9,0,1,2,5,0.583333,178,1,0,0.6875,0.666667,1,2,24.142857,5,2.2857,clean
11,1,0,12,35,0,1,11,6,0.55,324,1,0,0,0.5,0,0,28.272727,2,1.1818,clean
5,2,0,12,29,0,1,11,2,1,210,0.4,0,0.888889,0.75,1,10,40,3,1.2,clean
13,1,0,11,52,0,1,10,6,0.541667,537,1,0,0,0.35,0,0,40.153846,2,1.3077,clean
6,3,0,39,11,0,38,1,4,0.6,115,1,0,0.928571,0.533333,0,0,17.833333,1,0.1667,clean
4,2,0,6,8,0,3,3,2,0.666667,83,0.5,2,0.714286,0.555556,2,5,18.75,2,0.75,clean
14,1,0,13,44,0,1,12,9,0.692308,518,0.714286,3,0,0.25641,0,0,35.5,5,1.9286,clean
4,1,0,57,53,0,11,46,2,0.333333,383,1,0,0,0.333333,0,0,94.25,2,0.75,clean
4,2,0,5,8,0,3,2,2,1,92,1,0,0.714286,0.666667,1,4,21,4,1.25,clean
4,2,0,5,8,0,3,2,2,1.066667,93,1,0,0.714286,0.666667,1,4,21,4,1.25,clean
14,1,0,13,62,0,0,13,12,0.769231,819,1,7,0,0.323077,0,0,56.785714,6,2.8571,clean
9,1,0,20,38,0,1,19,6,0.5625,309,1,0,0,0.458333,0,0,33.111111,3,1.3333,clean
4,2,0,4,11,0,1,3,2,1.066667,118,1,0,0.714286,0.666667,2,5,27.25,5,1.5,clean
13,1,0,7,62,0,0,7,11,0.604167,746,1,1,0,0.277778,0,0,56.076923,6,2.6154,clean
5,2,0,11,9,0,10,1,2,0.75,131,0.4,4,0.785714,0.333333,1,1,24.2,2,1,clean
5,1,0,6,19,0,0,6,2,1.041667,222,0.333333,0,0,0.375,0,0,42.2,1,0.6,clean
7,1,0,5,7,21,4,1,7,2,7,0,0,0,0.333333,0,0,0,1,1,clean
4,2,0,6,12,0,4,2,2,0.666667,181,1,0,0.866667,0.666667,1,4,43.75,4,1.25,clean
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,clean
5,1,0,61,5,10,59,2,5,2,5,0,0,0,0.533333,0,0,0,1,1,clean
9,1,0,15,30,0,2,13,6,0.5625,281,1,0,0,0.458333,0,0,30,2,1.2222,clean
6,1,0,1,12,0,0,1,4,0.75,145,1,0,0,0.32,0,0,22.5,2,0.8333,clean
5,1,0,6,5,10,5,1,5,2,5,0,0,0,0.6,0,0,0,1,1,clean
15,1,0,29,24,0,28,1,13,0.883117,455,0.454545,0,0,0.238095,1,1,28.6,7,2.3333,clean
10,1,0,9,10,45,7,2,10,2,10,0,0,0,0.316667,0,0,0,1,1,clean
15,1,0,52,36,0,47,5,13,0.535714,429,1,0,0,0.357143,0,0,27.466667,8,2.1333,clean
4,2,0,5,8,0,3,2,2,1.066667,93,1,0,0.714286,0.666667,1,4,21,4,1.25,clean
4,2,0,6,12,0,1,5,2,0.666667,127,1,0,0.714286,0.555556,1,4,30,5,1.5,clean
9,1,0,13,23,0,1,12,6,0.5625,217,1,0,0,0.458333,0,0,22.888889,2,1.2222,clean
9,1,0,14,29,0,1,13,6,0.5625,287,1,0,0,0.458333,0,0,30.666667,2,1.2222,clean
20,1,0,15,28,0,12,3,18,0.836257,504,0.777778,3,0,0.195489,1,1,23.75,7,2.05,clean
4,2,0,3,6,0,1,2,2,0.666667,68,1,0,0.846154,0.666667,1,2,15.5,2,0.75,clean
9,1,0,10,29,0,1,9,6,0.5625,291,1,0,0,0.458333,0,0,31.111111,3,1.3333,clean
13,1,0,13,63,0,1,12,6,0.541667,591,1,0,0,0.35,0,0,44.307692,4,1.4615,clean
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,clean
9,1,0,9,28,0,1,8,6,0.5625,313,1,0,0,0.458333,0,0,33.555556,6,1.6667,clean
16,2,0,12,42,0,6,6,11,0.466667,382,1,1,0.222222,0.306667,1,4,22.75,2,1.625,clean
12,1,0,8,29,0,2,6,9,0.681818,409,0.5,1,0,0.424242,0,0,32.75,4,1.8333,clean
29,1,0,13,54,0,11,2,27,0.792208,1030,1,0,0,0.292857,0,0,34.137931,10,2.4828,clean
