@relation arff_tomcat

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {clean,buggy}

@data
8,1,0,6,14,26,2,0,7,1,39,1,2,0,0.392857,0,0,3.5,1,0.75,clean
2,4,0,4,5,1,1,0,2,2,36,0,0,0.97561,0.666667,1,1,17,1,0.5,clean
56,1,0,49,89,1310,40,0,56,0.956474,583,1,24,0,0.1375,0,0,8.821429,5,1.1964,clean
4,5,1,0,8,6,0,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
3,2,0,3,8,3,3,0,3,1.5,73,0,0,0.9375,0.833333,0,0,22,3,1,clean
3,1,0,0,3,3,0,0,3,2,3,0,0,0,1,0,0,0,1,1,clean
10,3,0,3,24,3,1,0,10,0.481481,114,1,0,0.428571,0.211111,1,1,10.1,3,1,clean
3,2,0,2,7,3,2,0,3,1.5,30,0,0,0.9375,0.833333,0,0,8.666667,3,1,clean
3,2,0,5,8,3,0,0,2,1,27,1,0,0.97619,1,0,0,7.666667,1,0.3333,clean
11,2,0,1,25,35,0,0,11,0.65,283,1,0,0.411765,0.318182,0,0,24.363636,2,1.1818,clean
6,5,0,1,7,15,1,0,6,2,14,0,0,0.864865,0.458333,1,1,1.333333,1,0.8333,clean
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
6,3,0,8,33,3,1,0,1,0.4,177,1,0,0.827586,0.4,1,6,28.333333,1,0.8333,clean
3,2,0,6,9,1,2,0,3,0,35,1,0,0.666667,0.555556,1,1,10.333333,1,0.3333,clean
14,1,0,3,15,91,3,0,14,2,17,0,0,0,0.285714,0,0,0.214286,1,0.9286,clean
2,1,1,0,3,1,0,0,2,2,5,0,0,0,1,0,0,1.5,1,0.5,clean
22,2,0,20,145,127,0,0,15,0.867347,1226,0.857143,1,0.545455,0.306122,2,2,54.090909,10,2.3182,clean
1,1,0,0,2,0,0,0,1,2,10,0,0,0,1,0,0,3,0,0,clean
2,4,0,4,6,1,1,0,2,2,33,0,0,0.97561,0.666667,1,1,15.5,1,0.5,clean
33,2,0,9,93,378,0,0,26,0.900862,995,1,2,0.392157,0.1875,0,0,28.272727,6,1.4848,clean
6,1,0,4,12,3,3,0,6,0.2,40,1,0,0,0.583333,0,0,5.5,1,0.8333,clean
8,1,0,2,31,12,1,0,8,0.457143,259,1,0,0,0.325,0,0,30.75,5,1.5,clean
37,3,0,8,97,508,2,0,21,0.895425,981,1,3,0.619565,0.242063,2,3,25.054054,11,2.7568,clean
4,1,0,0,5,0,0,0,4,0.666667,28,1,1,0,0.5,0,0,5.25,1,0.75,clean
2,2,0,5,8,0,1,0,2,0,32,0,0,0.916667,0.625,0,0,14.5,1,0.5,clean
2,1,1,0,3,1,0,0,2,2,5,0,0,0,1,0,0,1.5,1,0.5,clean
0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,clean
9,1,0,19,46,8,3,0,5,0.4375,350,1,3,0,0.3125,0,0,37.444444,1,0.7778,clean
2,5,0,2,5,1,0,0,2,2,11,0,0,0.985507,1,1,1,4.5,1,0.5,clean
7,1,0,9,36,0,1,0,5,0.416667,181,0.5,0,0,0.444444,0,0,24.571429,1,0.7143,clean
6,1,0,2,7,7,2,0,6,0.7,29,0,0,0,0.75,0,0,3.5,1,0.8333,clean
11,1,0,2,23,15,1,0,11,0.7,167,0,1,0,0.318182,0,0,13.727273,2,1,clean
10,1,0,4,11,45,3,0,10,1.111111,24,0,0,0,0.34,0,0,0.3,1,0.9,clean
42,2,0,26,98,683,10,0,41,0.94835,962,1,0,0.633028,0.252033,2,7,21.5,10,1.5476,clean
3,2,0,2,4,0,2,0,3,0,31,1,0,0.894737,0.444444,0,0,9,2,1,clean
10,1,0,79,37,39,76,0,7,0.592593,296,1,0,0,0.611111,0,0,28.3,5,1.5,clean
7,3,0,35,12,11,35,0,7,0.166667,77,1,0,0.85,0.52381,1,2,9.714286,4,0.8571,clean
4,1,0,2,9,0,1,0,2,0.25,91,0,1,0,0.625,0,0,20.75,5,2,clean
4,3,0,2,6,6,1,0,4,1,21,1,1,0.833333,0.4,1,2,4,1,0.75,clean
5,1,1,0,6,10,0,0,5,2,8,0,0,0,0.533333,0,0,0.6,1,0.8,clean
30,1,0,14,71,135,2,0,22,0.780788,836,1,6,0,0.162069,0,0,26.4,6,1.6333,clean
3,2,0,3,9,1,1,0,2,0.5,59,1,1,0.75,0.555556,0,0,18.333333,2,1,clean
5,1,0,18,5,10,18,0,5,2,5,0,0,0,0.7,0,0,0,1,1,clean
7,2,0,4,25,9,1,0,7,0.5,331,1,0,0.785714,0.342857,2,2,46,5,1,clean
4,5,0,2,11,0,0,0,4,0,56,1,0,0.957746,0.625,2,2,12.75,1,0.75,clean
10,4,0,2,20,0,1,0,9,0.388889,92,1,1,0.848485,0.296296,2,2,8,2,0.8,clean
2,2,0,7,8,0,3,0,2,0,44,1,0,0.916667,0.833333,0,0,20,1,0.5,clean
17,1,0,6,32,72,3,0,16,0.7125,378,1,0,0,0.8125,0,0,20.941176,7,2.2353,clean
3,2,0,2,11,0,1,0,3,0,52,1,0,0.846154,0.5,0,0,16,1,0.6667,clean
2,3,5,7,3,1,5,0,2,2,8,0,0,0.975,0.666667,0,0,3,1,0.5,clean
2,2,0,2,4,1,0,0,1,1,9,1,0,1,1,0,0,3,0,0,clean
8,2,0,0,35,28,0,0,7,2,343,0,0,0.5,0.525,0,0,41.875,6,1.75,clean
16,2,1,6,42,34,5,0,13,0.644444,287,1,0,0.48,0.186667,0,0,16.75,7,1.8125,clean
8,1,0,4,35,12,2,0,6,0.666667,204,1,2,0,0.285714,0,0,23.75,3,1.625,clean
34,1,0,19,34,561,19,0,34,2,34,0,0,0,0.210084,0,0,0,1,1,clean
4,1,0,4,4,6,2,0,4,2,4,0,0,0,0.6,0,0,0,1,1,clean
5,3,0,2,11,8,1,0,5,0.75,37,1,1,0.833333,0.36,1,1,6.2,1,0.8,clean
2,1,0,0,2,1,0,0,2,2,2,0,0,0,1,0,0,0,1,1,clean
41,1,0,17,92,658,6,0,20,0.84375,2453,1,2,0,0.194643,0,0,58.731707,10,3.7073,clean
4,5,1,0,8,6,0,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
4,2,0,8,13,4,1,0,2,1,36,1,1,0.909091,0.555556,0,0,7.5,1,0.5,clean
9,1,0,1,10,36,0,0,9,2,12,0,0,0,0.444444,0,0,0.333333,1,0.8889,clean
5,1,0,0,6,4,0,0,5,0.5,22,1,0,0,0.4,0,0,3.2,1,0.8,clean
17,2,0,14,69,78,0,0,16,0.791667,348,0.5,2,0.615385,0.203125,1,3,19.117647,3,1.4118,clean
4,5,0,2,13,0,0,0,4,0,58,1,0,0.957746,0.625,1,1,13.25,1,0.75,clean
13,1,0,12,25,40,12,0,13,0.923611,265,0.083333,1,0,0.369231,0,0,18.461538,5,1.4615,clean
42,1,0,19,96,569,14,0,31,0.889135,897,0.772727,3,0,0.134146,0,0,19.833333,9,1.9286,clean
1,3,0,4,2,0,4,0,1,2,4,0,0,1,1,0,0,3,0,0,clean
2,4,0,3,3,1,1,0,2,2,8,0,0,0.97561,0.666667,0,0,3,1,0.5,clean
7,1,0,1,13,0,1,0,5,0.5,221,1,2,0,0.428571,0,0,29.857143,7,3.2857,clean
4,4,0,0,8,6,0,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,clean
6,1,0,2,22,0,0,0,5,0.666667,161,1,1,0,0.444444,0,0,25.333333,8,2,clean
5,4,0,4,37,6,1,0,1,0.5,203,1,0,0.911765,0.666667,2,2,39.4,1,0.6,clean
24,1,0,0,24,276,0,0,24,2,24,0,0,0,0.358333,0,0,0,1,1,clean
2,2,0,4,10,1,1,0,2,2,45,0,0,0.916667,0.666667,1,1,21.5,1,0.5,clean
6,3,0,4,45,0,0,0,4,0.2,379,1,0,0.827586,0.625,2,5,61.166667,1,0.8333,clean
5,3,2,0,8,4,0,0,5,0.5,31,1,0,0.944444,0.6,0,0,5,1,0.2,clean
9,1,0,0,17,30,0,0,7,0.875,98,1,3,0,0.288889,0,0,9.555556,12,2.1111,clean
