ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0,0.000934,0,4,0,0,0.004517,0,0,0,8.73596,0,0,1.01,1,1,0,11,0,0,8.1114,1.01,0.004526,1.02,3,30,52,7,4,2,0.01184,0,21,1.03,15,0.000954,0,0.000943,1.02,1.07,4,1.05,1,1,0,0,0,0,1.02,0.134499,9.18,4,0.000993,0.025009,0.000969,127,4,0.001007,1.03,0.198199,0.001036,clean
0,0.000741,0,3,0,0,0.014817,0.00091,0,0,7.99162,0,0,1.02,0,0,1,14,0,0,8.15006,0,0,2.04,5,44,0,9,1,1,0,0,36,0,26,0.001815,0,0.002165,1.04,1.15,5,2.13,2,0,2,1,1.02,0,1.04,0.157613,1.01,4,0.000889,0.001487,0.002523,8,9,0.000967,2.06,0.239334,0.000923,clean
0,0,0,4,0,1.01,0.024575,0,0,0,8.89835,0,0,0,0,2,0,12,0,0,8.12036,0,0.01461,2.08,1,34,61,2,4,1,0,0,1,6.44,3,0.004731,0.004007,0.003723,1.01,0,2,2.03,6,0,0,0,0,0,1.01,0.133644,10.15,4,0.002827,0.02165,0.003656,45,1,0.002917,1.2,0.18746,0,clean
0,0.001529,0.015913,35,0,0,0.347495,0.00165,2.03,0,30.8847,0,0,2.02,3,5,5,253,0,0,8.77424,0,0.043647,16.75,22,787,414,21,6,10,0,1.02,210,23.66,277,0.061236,0,0.066868,4.04,2.39,32,18.65,5,0,0,6,2.02,0.001409,6.07,0.221639,4.05,40,0.010602,0.012864,0.060975,94,21,0.027947,24.14,0.392389,0.001669,buggy
0,0,0,2,1.01,1.01,0.01212,0,0,0,2.80457,0,0,0,1,0,0,10,0,0,0.091119,0,0.046042,2.11,0,28,405,5,3,1,0,1.02,10,13.15,13,0.006215,0.002825,0.006238,2.02,0,1,2.08,1,0,0,0,0,0.001409,2.02,0.014004,9.44,2,0.005223,0.023725,0.006207,73,0,0.007285,2.15,0.047726,0,clean
5,0.002999,0.002636,41,1.01,1.01,0.147577,0.001756,3.04,0,24.4246,0.001194,3.03,4.05,8,3,2,269,0.002311,0,8.49732,3.03,0.043647,13.09,17,708,380,11,2,8,0.006412,1.02,55,23.65,172,0.013635,0.001544,0.015784,2.02,4.43,24,10.84,8,1,0,3,1.01,0.001409,5.06,0.158256,2.02,48,0.001787,0.002695,0.01075,27,5,0.00453,17.09,0.180572,0.004114,buggy
1,0.010001,0,18,3.09,2.08,0.057262,0.012193,0,0,20.393,0.00267,0,6.06,12,2,0,59,0,0,8.45997,0,0,9.42,10,230,0,9,1,2,0,0,36,0,45,0.024351,0.001331,0.019256,3.05,6.51,12,9.37,13,1,0,1,4.04,0,3.05,0.182453,1.01,20,0.013064,0.001487,0.016256,9,6,0.014814,14.69,0.295484,0.013624,buggy
4,0,0,2,0,1.01,0.007528,0,0,0.010809,1.47165,0,0,0,1,2,0,55,0,1.01,7.91776,0,0,0,12,246,0,8,1,2,0,0,28,0,53,0,0.014093,0.016564,0,0,14,0,4,0,1,0,0,0,0,0.112489,0,2,0,0,0,8,0,0,1.02,0.140566,0,clean
0,0.001609,0.007062,8,1.01,1.01,0.046309,0.002194,2.02,0.000472,12.482,0.000875,0,2.03,2,1,1,52,0,1.02,8.23626,0,0,6.15,6,199,3,12,2,20,0,0,66,0,45,0.008512,0.000804,0.008147,0,2.31,25,4.12,6,0,2,1,2.03,0,2.02,0.150163,0,9,0,0,0.005768,10,9,0.00681,6.44,0.224729,0.002113,buggy
0,0,0.003249,6,0,0,0.019258,0,1.01,0,7.52192,0,0,0,3,0,1,15,0,0,0.180872,0,0.003617,1.1,7,58,3,5,2,4,0,0,10,3.08,28,0.001023,0,0.001721,1.05,0,10,1.2,3,0,0,1,0,0,2.06,0.011839,2.1,6,0.000837,0.002221,0.001061,10,5,0.004289,2.34,0.001893,0,buggy
